State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Visakhapatnam,2021-10-26,2021,10,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-11-01,2021,11,0.30403312,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-11-06,2021,11,0.005910304,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-11-10,2021,11,0.027389817,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-11-14,2021,11,8.423053271,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-11-26,2021,11,0.119867438,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-11-27,2021,11,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-11-30,2021,11,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-12-02,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-12-06,2021,12,0.560430377,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-12-07,2021,12,0.013348844,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-12-08,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-12-13,2021,12,0.013348844,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-12-19,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-12-27,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-12-30,2021,12,0.848479956,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-04-10,2021,4,1.371084509,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-05-26,2021,5,0.002091858,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-01-04,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-01-12,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-01-15,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-01-17,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-01-21,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-01-22,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-01-24,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-01-25,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-02-02,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-02-16,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-02-17,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-02-25,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-03-02,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-03-05,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-03-08,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-03-09,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-03-10,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-03-16,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-03-28,2021,3,0.202839063,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-03-30,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-04-15,2021,4,7.601880473,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-04-23,2021,4,0.041768104,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-04-27,2021,4,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-05-01,2021,5,1.049904745,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-05-03,2021,5,1.291612261,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-05-07,2021,5,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-05-10,2021,5,0.573631128,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-05-18,2021,5,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-05-21,2021,5,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-05-22,2021,5,10.30322357,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-05-27,2021,5,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-06-04,2021,6,6.731727692,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-06-05,2021,6,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-06-09,2021,6,4.662368838,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-06-20,2021,6,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-06-22,2021,6,0.120812651,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-06-27,2021,6,0.972562674,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-07-01,2021,7,6.595516116,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-07-04,2021,7,3.47036515,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-07-07,2021,7,11.23392743,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-07-08,2021,7,13.95956009,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-07-18,2021,7,0.093592357,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-07-19,2021,7,0.429565559,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-07-20,2021,7,3.92126616,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-07-30,2021,7,3.231864001,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-08-12,2021,8,9.071815555,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-08-13,2021,8,26.54679083,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-08-20,2021,8,2.295828954,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-09-03,2021,9,1.297351164,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-09-04,2021,9,6.719747521,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-09-10,2021,9,12.54320351,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-09-11,2021,9,21.43482937,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2021-09-12,2021,9,1.819175835,IMD GRID MODEL
Andhra Pradesh,Guntur,2021-11-14,2021,11,15.03821617,IMD GRID MODEL
Andhra Pradesh,Guntur,2021-11-29,2021,11,9.105995092,IMD GRID MODEL
Andhra Pradesh,Guntur,2021-12-01,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2021-12-02,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2021-12-04,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2021-12-07,2021,12,0.004913238,IMD GRID MODEL
Andhra Pradesh,Guntur,2021-12-10,2021,12,0.806659198,IMD GRID MODEL
Andhra Pradesh,Guntur,2021-12-12,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2021-12-13,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2021-12-22,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2021-12-24,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2021-12-28,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2021-12-30,2021,12,0.26038093,IMD GRID MODEL
Andhra Pradesh,Krishna,2021-01-04,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Krishna,2021-01-08,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Krishna,2021-01-14,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Krishna,2021-01-15,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Krishna,2021-01-17,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Krishna,2021-01-21,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Krishna,2021-01-22,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Krishna,2021-01-30,2021,1,0.0,IMD GRID MODEL
